FID,TYPEPIPE,Operator,Status,Shape_Leng,geometry
68,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0031487495931,"LINESTRING (-94.43672 29.570048, -94.434288 29.568048)"
69,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00699178031689,"LINESTRING (-94.443664 29.570864, -94.43672 29.570048)"
70,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0711384435028,"LINESTRING (-94.4587519999999 29.640384, -94.443664 29.570864)"
71,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00385550204254,"LINESTRING (-94.563856 29.4820800000001, -94.560192 29.48328)"
72,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00575724378502,"LINESTRING (-94.568336 29.4856960000001, -94.563856 29.4820800000001)"
74,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00470791673673,"LINESTRING (-94.566704 29.4901120000001, -94.568336 29.4856960000001)"
75,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0180712828543,"LINESTRING (-94.578512 29.503792, -94.566704 29.4901120000001)"
76,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0420188148334,"LINESTRING (-94.2948479999999 29.846912, -94.272 29.8821760000001)"
77,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00272629858967,"LINESTRING (-94.489728 29.6845760000001, -94.4872799999999 29.6833760000001)"
78,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00282745274055,"LINESTRING (-94.488436 29.6870910000001, -94.489728 29.6845760000001)"
79,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0435058800623,"LINESTRING (-94.272 29.8821760000001, -94.23296 29.901376)"
80,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0310063854391,"LINESTRING (-94.488436 29.6870910000001, -94.458023 29.6931280000001)"
81,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0362170012149,"LINESTRING (-94.52396 29.6800400000001, -94.488436 29.6870910000001)"
82,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00235987796293,"LINESTRING (-94.5255999999999 29.673328, -94.523568 29.672128)"
83,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00690945323456,"LINESTRING (-94.52396 29.6800400000001, -94.5255999999999 29.673328)"
84,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0107707003486,"LINESTRING (-94.536875 29.6774770000001, -94.53336 29.6672960000001)"
85,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0131668596863,"LINESTRING (-94.536875 29.6774770000001, -94.52396 29.6800400000001)"
86,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0265305384981,"LINESTRING (-94.458385 29.666912, -94.4587519999999 29.640384)"
87,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00489599999997,"LINESTRING (-94.4587519999999 29.640384, -94.453856 29.640384)"
88,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0330867439317,"LINESTRING (-94.327928 29.8462440000001, -94.2948479999999 29.846912)"
89,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00217950567792,"LINESTRING (-94.32339 29.817847, -94.325568 29.817928)"
90,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00110299229373,"LINESTRING (-94.319616 29.817928, -94.319492 29.816832)"
91,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00158800000003,"LINESTRING (-94.319616 29.817928, -94.319616 29.8195160000001)"
92,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00377486913683,"LINESTRING (-94.32339 29.817847, -94.319616 29.817928)"
93,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00947753158788,"LINESTRING (-94.32339 29.817847, -94.318864 29.8095200000001)"
94,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0248223648551,"LINESTRING (-94.335244 29.839656, -94.32339 29.817847)"
95,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00211334805461,"LINESTRING (-94.3149 29.802308, -94.312916 29.8015800000001)"
96,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00160329660386,"LINESTRING (-94.3149 29.802308, -94.315148 29.8007240000001)"
97,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00822959537283,"LINESTRING (-94.318864 29.8095200000001, -94.3149 29.802308)"
98,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00976078767316,"LINESTRING (-94.33822 29.8494160000001, -94.338096 29.839656)"
99,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00384987064718,"LINESTRING (-94.334372 29.849296, -94.33822 29.8494160000001)"
100,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00644399999999,"LINESTRING (-94.327928 29.849296, -94.334372 29.849296)"
101,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00305199999997,"LINESTRING (-94.327928 29.8462440000001, -94.327928 29.849296)"
102,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00658800000002,"LINESTRING (-94.327928 29.839656, -94.327928 29.8462440000001)"
103,Intrastate,Texas Intrastate Pipeline Co,Operating,0.007316,"LINESTRING (-94.335244 29.839656, -94.327928 29.839656)"
104,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00285199999996,"LINESTRING (-94.338096 29.839656, -94.335244 29.839656)"
105,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0286983060127,"LINESTRING (-94.356704 29.8178080000001, -94.338096 29.839656)"
106,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00569323528411,"LINESTRING (-94.360176 29.813296, -94.356704 29.8178080000001)"
107,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0162230926768,"LINESTRING (-94.358576 29.797152, -94.360176 29.813296)"
108,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0197542015784,"LINESTRING (-94.332736 29.7954560000001, -94.318864 29.8095200000001)"
109,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0243280632193,"LINESTRING (-94.3562899999999 29.789368, -94.332736 29.7954560000001)"
110,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00310523686698,"LINESTRING (-94.344576 29.7789920000001, -94.341712 29.777792)"
111,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00467486748473,"LINESTRING (-94.343895 29.783617, -94.344576 29.7789920000001)"
112,Intrastate,Texas Intrastate Pipeline Co,Operating,0.000197463920771,"LINESTRING (-94.343895 29.783617, -94.343699 29.7835930000001)"
113,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00567205077552,"LINESTRING (-94.349567 29.7835930000001, -94.343895 29.783617)"
114,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00069841248557,"LINESTRING (-94.349543 29.784291, -94.349567 29.7835930000001)"
115,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00743443185452,"LINESTRING (-94.356242 29.787515, -94.349543 29.784291)"
116,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00689947309583,"LINESTRING (-94.3623269999999 29.7907670000001, -94.356242 29.787515)"
117,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00740528365421,"LINESTRING (-94.3623269999999 29.7907670000001, -94.358576 29.797152)"
118,Intrastate,Texas Intrastate Pipeline Co,Operating,0.013565071102,"LINESTRING (-94.3692 29.779072, -94.3623269999999 29.7907670000001)"
119,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00993444271206,"LINESTRING (-94.398736 29.766284, -94.4086119999999 29.7673600000001)"
120,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00125824004072,"LINESTRING (-94.3976479999999 29.766916, -94.398736 29.766284)"
121,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0116718229082,"LINESTRING (-94.3862329999999 29.7644810000001, -94.3976479999999 29.766916)"
122,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0159640020672,"LINESTRING (-94.3862329999999 29.7644810000001, -94.378192 29.7782720000001)"
123,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0447425242136,"LINESTRING (-94.4087699999999 29.725829, -94.3862329999999 29.7644810000001)"
124,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00402002251239,"LINESTRING (-94.4196899999999 29.755905, -94.42328 29.7540960000001)"
125,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00772035057495,"LINESTRING (-94.4196899999999 29.755905, -94.417568 29.763328)"
126,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00541475364166,"LINESTRING (-94.4211789999999 29.750699, -94.4196899999999 29.755905)"
127,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00153833676417,"LINESTRING (-94.40728 29.748772, -94.406976 29.747264)"
128,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0103123328108,"LINESTRING (-94.417568 29.748064, -94.40728 29.748772)"
129,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00447018411252,"LINESTRING (-94.4211789999999 29.750699, -94.417568 29.748064)"
130,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00510171814197,"LINESTRING (-94.424934 29.737574, -94.429792 29.7360160000001)"
131,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0136515804946,"LINESTRING (-94.424934 29.737574, -94.4211789999999 29.750699)"
132,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00288539633325,"LINESTRING (-94.4257279999999 29.7348000000001, -94.424934 29.737574)"
133,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0459057729267,"LINESTRING (-94.399888 29.774996, -94.3562899999999 29.789368)"
134,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00783943773495,"LINESTRING (-94.3984159999999 29.767296, -94.399888 29.774996)"
135,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0195587353375,"LINESTRING (-94.417568 29.763328, -94.3984159999999 29.767296)"
136,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00905585865616,"LINESTRING (-94.433872 29.731184, -94.442848 29.732384)"
137,Intrastate,Texas Intrastate Pipeline Co,Operating,0.004497821695,"LINESTRING (-94.429392 29.7315840000001, -94.433872 29.731184)"
138,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00449075851053,"LINESTRING (-94.429392 29.7315840000001, -94.4285759999999 29.7271680000001)"
139,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00443555092406,"LINESTRING (-94.434288 29.7267680000001, -94.433872 29.731184)"
140,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00572598847364,"LINESTRING (-94.4285759999999 29.7271680000001, -94.434288 29.7267680000001)"
141,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00487519763704,"LINESTRING (-94.4257279999999 29.7348000000001, -94.429392 29.7315840000001)"
142,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00229693360809,"LINESTRING (-94.4130879999999 29.729584, -94.41144 29.727984)"
143,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0085760597013,"LINESTRING (-94.39392 29.717136, -94.3878079999999 29.723152)"
144,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00605732614279,"LINESTRING (-94.39392 29.717136, -94.388208 29.7151200000001)"
145,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0172072876712,"LINESTRING (-94.4087699999999 29.725829, -94.39392 29.717136)"
146,Intrastate,Texas Intrastate Pipeline Co,Operating,0.013364387341,"LINESTRING (-94.4155019999999 29.7142840000001, -94.4087699999999 29.725829)"
147,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00663081442962,"LINESTRING (-94.4155019999999 29.7142840000001, -94.420416 29.718736)"
148,Intrastate,Texas Intrastate Pipeline Co,Operating,0.016646603137,"LINESTRING (-94.423888 29.6999040000001, -94.4155019999999 29.7142840000001)"
149,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00775999999996,"LINESTRING (-94.417968 29.7348000000001, -94.4257279999999 29.7348000000001)"
150,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00714290249131,"LINESTRING (-94.4130879999999 29.729584, -94.417968 29.7348000000001)"
151,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0286643248656,"LINESTRING (-94.4249119999999 29.703472, -94.4130879999999 29.729584)"
152,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00514060852429,"LINESTRING (-94.429792 29.7018560000001, -94.4249119999999 29.703472)"
153,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0032339972171,"LINESTRING (-94.430209 29.698649, -94.429792 29.7018560000001)"
154,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00644438251504,"LINESTRING (-94.430209 29.698649, -94.423888 29.6999040000001)"
155,Intrastate,Texas Intrastate Pipeline Co,Operating,0.0283566577191,"LINESTRING (-94.458023 29.6931280000001, -94.430209 29.698649)"
156,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00779299999999,"LINESTRING (-94.458385 29.666912, -94.450592 29.666912)"
157,Intrastate,Texas Intrastate Pipeline Co,Operating,0.00654024342055,"LINESTRING (-94.458336 29.669312, -94.464864 29.668912)"
